title,content,url,sub_title,year
A year of great leaps in genome research,"… the BGI had a major role. Having become the largest sequencing center in the world over 
the past year, the BGI has sequenced 540 plant and animal reference genomes and 25,239 
variant genomes, … In addition to the genomes of more than 600 microbial species, the BGI's …",https://link.springer.com/article/10.1186/gm303,J Zhu - 2012 - Springer,0
The sheep genome reference sequence: a work in progress,"… To assist in characterization of the transcribed component of the genome, BGI Shenzhen 
has completed generation of approximately 15 Gb of sequence derived from seven tissues (lead 
contacts, Wen Wang, Jun Wang and Xu Xun). These sequences complement existing …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2052.2010.02100.x,"International Sheep Genomics Consortium… - Animal …, 2010 - Wiley Online Library",2010
Genomics and Animal Cloning,"… "".Based on this belief,BGI has been focusing on sequencing and bioinformatics,aiming at 
analyzing genomes of ""everybody in the … genomics and improved technology of handmade 
cloning,BGI has established an animal cloning platform,which focuses on: 1)generating animal …",https://en.cnki.com.cn/Article_en/CJFDTotal-ZGDX2011Z1002.htm,"Y Huan-ming - Chinese Journal of Comparative Medicine, 2011 - en.cnki.com.cn",2011
BGI Americas: Commercializing Next-Generation Sequencing,"… As a result of its expansive capacity, BGI’s efforts extend into almost any area involving 
genomics research including human and animal disease and plant and microbial genomics. 
It also is a major developer of new technologies and big data analysis tools designed to make …",https://www.cell.com/ccbio/pdf/S1074-5521(13)00217-2.pdf,"A McCarthy - Chemistry & biology, 2013 - cell.com",2013
Sequencing all life captivates biologists,"… timescales,” says Guojie Zhang, an evolutionary biologist at BGI and the University of 
Copenhagen. And by revealing genetic variation … to scores of existing plant and animal genomes. 
Finally, scientists would seek rough genomes of the remaining known eukaryotic species. …",https://science.sciencemag.org/content/355/6328/894.summary,E Pennisi - 2017 - science.sciencemag.org,0
China's sequencing powerhouse comes of age,"… goal to sequence a million human genomes, a million plant and animal genomes, and a 
million microbial genomes. To foster closer collaboration, BGI is establishing two … The growing 
web of partnerships is turning BGI into the only genomics enterprise with a global footprint. …",https://science.sciencemag.org/content/335/6068/516.summary,D Normile - 2012 - science.sciencemag.org,0
Sequencing and analysis of the giant panda genome,"… for other genomes in an efficient and cost-effective way. On 9 Jan. 2010, BGI officially 
launched the 1000 plant and animal reference genome project and called for … The project 
aims to generate reference genomes for 1000 economical and scientifically important plant and …",https://search.proquest.com/openview/0854cfab306eb74cf66851e624d3d17e/1?pq-origsite=gscholar&cbl=54335,"H Yang - Science China. Life sciences, 2010 - search.proquest.com",2010
A large and diverse collection of bovine genome sequences from the Canadian Cattle Genome Project,"… genome sequences, taken primarily from key historic Bos taurus animals, along with the 
analyses that were performed to assess data quality. The sequenced animals … The large number 
of whole-genome sequences generated as a result of this project will contribute to ongoing …",https://academic.oup.com/gigascience/article-abstract/4/1/s13742-015-0090-5/2707779,"P Stothard, X Liao, AS Arantes, M De Pauw… - …, 2015 - academic.oup.com",2015
Silkworm Genome Project and the Silk Road in the 21th Century in China [J],"… Estimated length of the whole silkworm genome is 450 Mb. The work draft covers 95.54% 
of the silkworm genome, satisfying the requirement of a high quality work draft. With the 
completion of the work draft of the silkworm genome, sericultural sciences will enter a new …",https://en.cnki.com.cn/Article_en/CJFDTotal-CYKE200304000.htm,"X Zhonghuai - Acta Sericologica Sinica, 2003 - en.cnki.com.cn",2003
Around the world in a month,"… BGI sign agreements to advance genomics and its clinical applications. BGI will collaborate 
with Bogazici University on human genetics, plant and animal genomics… subsequent clinical 
applications, and with Cankiri Karatekin University on an International Olive genome project. …",https://www.nature.com/articles/nbt0813-670,G Elate - 2013 - nature.com,0
