title,content,url,sub_title,year
China's sequencing powerhouse comes of age,"… of a genomics conference here last November, immunologist Lennart Hammarström sat 
down for a preliminary discussion with officials of the genome sequencing powerhouse BGI-… 
: If we sequence the major farm animals and sequence the major medical genomes, how many …",https://science.sciencemag.org/content/335/6068/516.summary,D Normile - 2012 - science.sciencemag.org,0
"Whole-Genome Sequencing of the Giant Devil Catfish, Bagarius yarrelli","… In a combination of Illumina and PacBio sequencing technologies, we de novo assembled a 
571-Mb genome for the giant devil catfish … Genomic DNA and total RNA were extracted from 
muscle tissues of this fish for the whole-genome and transcriptome sequencing. All animal …",https://academic.oup.com/gbe/article-abstract/11/8/2071/5528502,"W Jiang, Y Lv, L Cheng, K Yang, C Bian… - Genome biology and …, 2019 - academic.oup.com",2019
Mitochondrial genome sequencing of a vermivorous cone snail Conus quercinus supports the correlative analysis between phylogenetic relationships and dietary types …,"… laws on animal welfare and research in China, and were specifically approved by the Animal 
Research Ethics … sequences of the C. quercinus mitogenome are also the longest in these 
Conus species. Usually, in animal mitochondrial genomes, the longest intergenic sequences …",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0193053,"B Gao, C Peng, Q Chen, J Zhang, Q Shi - PLoS ONe, 2018 - journals.plos.org",2018
"Whole genome sequencing of Chinese clearhead icefish, Protosalanx             hyalocranius","… Here, we provide the whole genome sequence of this surface-dwelling fish and generated 
a draft genome assembly, aiming at exploring … Sample and sequencing In this study, we 
applied Illumina whole genome sequencing strategy to sequence the genome of Chinese …",https://academic.oup.com/gigascience/article-abstract/6/4/giw012/3051928,"K Liu, D Xu, J Li, C Bian, J Duan, Y Zhou, M Zhang… - …, 2017 - academic.oup.com",2017
Whole genome sequencing of the blue tilapia (Oreochromis aureus) provides a valuable genetic resource for biomedical research on tilapias,"… (water salinity of 5~8‰) of the BGI-Marine tilapia aquaculture base in Fengpo Town, … animal 
experiments were performed in accordance with the guidelines of the Animal Ethics Committee 
and were approved by the Institutional Review Board on Bioethics and Biosafety of BGI …",https://www.mdpi.com/487834,"C Bian, J Li, X Lin, X Chen, Y Yi, X You, Y Zhang, Y Lv… - Marine drugs, 2019 - mdpi.com",2019
"Draft genome of the Chinese mitten crab, Eriocheir sinensis","… We report the first genome sequencing, assembly, and annotation of the Chinese mitten 
crab. The assembled draft genome will provide a valuable resource for the study of essential 
developmental processes and genetic determination of important traits of the Chinese mitten …",https://academic.oup.com/gigascience/article-abstract/5/1/s13742-016-0112-y/2720969,"L Song, C Bian, Y Luo, L Wang, X You, J Li, Y Qiu… - …, 2016 - academic.oup.com",2016
It's more than stamp collecting: how genome sequencing can unify biological research,"… Perhaps the greatest ambition for sampling the tree of life is the BGI 1000 plant and 
animal genomes project and related support of the Genome 10K project. Despite these 
efforts, there are still many holes in the initiatives. GIGA, the Global Invertebrate …",https://www.sciencedirect.com/science/article/pii/S0168952515000888,"S Richards - Trends in Genetics, 2015 - Elsevier",2015
Whole genome sequencing of the giant grouper (Epinephelus lanceolatus) and high-throughput screening of putative antimicrobial peptide genes,"… Here, we report a high-quality genome of a giant grouper sequenced by an Illumina HiSeq 
X-Ten and PacBio Bioscience Sequel platform. … in regulating innate and adaptive immune 
responses, genome sequencing of this study provides a comprehensive cataloging of putative …",https://www.mdpi.com/523370,"D Wang, X Chen, X Zhang, J Li, Y Yi, C Bian, Q Shi… - Marine drugs, 2019 - mdpi.com",2019
Whole genome sequencing of Chinese white dolphin (Sousa chinensis) for high-throughput screening of antihypertensive peptides,"… We selected several representative animal species to perform the homology annotation, 
including the Baiji dolphin (Lipotes vexillifer), … Related protein sequences were aligned onto 
our genome sequences utilizing TblastN [43] with an E-value < 1.0e −5 . Genewise 2.2.0 [44…",https://www.mdpi.com/523428,"K Jia, C Bian, Y Yi, Y Li, P Jia, D Gui, X Zhang, W Lin… - Marine drugs, 2019 - mdpi.com",2019
BGI Americas: Commercializing Next-Generation Sequencing,"… cites BGI’s informatics abilities as a strong draw; also similar to CHOP, UCDavis has an 
established Genome Center already working on genome sequencing. ‘‘… research including 
human and animal disease and plant and microbial genomics. It also is a major developer of new …",https://www.cell.com/ccbio/pdf/S1074-5521(13)00217-2.pdf,"A McCarthy - Chemistry & biology, 2013 - cell.com",2013
