title,content,url,sub_title,year
BGI‐RIS: an integrated information resource and comparative analysis workbench for rice genomics,"… Genomics Institute (BGI), the major genome sequencing center in China, we have been 
carrying out the Superhybrid Rice Genome Project (SRGP) with full efforts to understand the 
genome … they become available, from other plant genomes and different types of biological data, …",https://academic.oup.com/nar/article-abstract/32/suppl_1/D377/2505285,"W Zhao, J Wang, X He, X Huang, Y Jiao… - Nucleic acids …, 2004 - academic.oup.com",2004
Crowdfunding the Azolla fern genome project: a grassroots approach,"… We believe that Azolla genomic studies will not only improve our understanding of plant 
evolution, but will also have broad implications for … by the media that our project was of 
significance, and reflected what the public does care about, led to our vision being realized by BGI. …",https://academic.oup.com/gigascience/article-abstract/3/1/2047-217X-3-16/2682927,"FW Li, KM Pryer - GigaScience, 2014 - academic.oup.com",2014
Comparison of long-read methods for sequencing and assembly of a plant genome,"… When starting a new genome project, it is therefore challenging to select the most cost-effective 
sequencing technology, as well as the … Read sequences were then converted to 10X 
Genomics format by BGI’s inhouse software, which contains 3 steps: (i) Change the format of …",https://academic.oup.com/gigascience/article-abstract/9/12/giaa146/6042729,"V Murigneux, SK Rai, A Furtado, TJC Bruxner… - …, 2020 - academic.oup.com",2020
Genome and Beyond BGI—A Success Story of Jumpstarting,"… of Beijing Genomics Institute (BGI) through its participation in the Human Genome Project (… 
rice genome in Science on 5 April 2002 and releasing the genomic data unconditionally, BGI 
… to the study of other plants, and any information we learn from the project has the potential of …",https://www.google.com/books?hl=zh-CN&lr=&id=0rjUCgAAQBAJ&oi=fnd&pg=PA1&dq=BGI+plant+genome+project&ots=uCTEByr2__&sig=CkdU0Z5dive8oWREhvqchZqIXAo,"B Liu, J Yu, J Wang, H Yang - A Holistic Approach To Rice …, 2003 - books.google.com",2003
From Human Genome to Rice Genome and Beyond: BGI—A Success Story of Jumpstarting Genomic Projects,"… It is a good model organism to the study of other plants, and any information we learn from the 
project has the potential of being applied to … for the BGI, we will lead a study into those species 
which have ultimate importance and not on the high priority lists of other major genomics …",https://www.worldscientific.com/doi/abs/10.1142/S021903030200188X,"B Liu, J Yu, J Wang, H Yang - Asia-Pacific Biotech News, 2002 - World Scientific",2002
The first 50 plant genomes,"… What have we learned from the first wave of plant genomes? It has been said that … Only 
two genome projects have used SOLiD for genome sequencing (strawberry and tomato); … 
The Beijing Genome Institute (BGI) has contributed consistently over the years starting with the …",https://core.ac.uk/download/pdf/194193971.pdf,"TP Michael, S Jackson - The plant genome, 2013 - core.ac.uk",2013
Chinese institute makes bold sequencing play,"… Genome Analyzers, eight of which are part of a joint CUHK-BGI genome research center that 
intends to conduct collaborative “projects in the fields of cancer, diabetes and plant genomics,” 
… million; the 10,000 microbial genomes project; and the Chinese Cancer Genome project. …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7097335/,"J Fox, J Kling - Nature biotechnology, 2010 - ncbi.nlm.nih.gov",2010
Genome giant offers data service,"… genomic data and create a more thorough genome sequence. At present, the principal use 
of the BGI's cloud is in the assembly of genomes such as Quan's plant. … I think the original 
human genome project sequenced many individuals in parallel, so the first sequence published …",https://www.nature.com/articles/475435a,E Callaway - 2011 - nature.com,0
A year of great leaps in genome research,"… the past year, the BGI has sequenced 540 plant and animal reference genomes and 25,239 
variant genomes, including 38,123 human samples (… ' (the M2 project). The third M project 
of the BGI is the 'The Million Micro-Ecosystem Genomes Project', which aims to sequence the …",https://link.springer.com/article/10.1186/gm303,J Zhu - 2012 - Springer,0
A guide to sequence your favorite plant genomes,"… a genome project. We also highlight certain precautions that need to be taken before 
investing time and money into a genome project. … BGI, a prominent sequencing provider and 
biotech company in Shenzhen, China, recently unveiled its own sequencer, BGISEQ- 500. This …",https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.1002/aps3.1030%4010.1002/%28ISSN%291537-2197.Tree-of-Life-virtual-issue,"FW Li, A Harkess - Applications in Plant Sciences, 2018 - Wiley Online Library",2018
Challenges and strategies for next generation sequencing (NGS) data analysis,"… TSL researchers have developed draft genomes of several microbial plant-pathogens, … for 
potato sequencing project (http://www.potatogenome.net/index.php), BGI has completed >… 
technologies for accelerating plant genome research to understand genome dynamics as well as …",http://oar.icrisat.org/154/,"V Thakur, RK Varshney - Journal of Computer Science & Systems …, 2010 - oar.icrisat.org",2010
A great leap forward,"… international Human Genome Project (HGP) like a badge of honour. Last month, when the 
HGP published its sequence of the human genome in … ""Now everyone in China knows what 
the human genome is,"" says Huanming Yang, director of the Beijing Genomics Institute (BGI). ""…",https://go.gale.com/ps/i.do?id=GALE%7CA188007388&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00280836&p=HRCA&sw=w,"D Cyranoski - Nature, 2001 - go.gale.com",2001
Single-molecule DNA sequencing technologies for future genomics research,"… the human genome from US$ 3 × 10 9 , the amount spent on the public Human Genome 
Project, to US$10 3 by 2014 (www.… Once this project is completed, the Beijing Genomics Institute 
(BGI) aims to sequence the genomes of 1000 more people, … The greening of plant genomics …",https://www.sciencedirect.com/science/article/pii/S0167779908002047,"PK Gupta - Trends in biotechnology, 2008 - Elsevier",2008
Presented by: Prudhvi Raj Vennela and,"… Indian rice genome program-university of Delhi … Academia sinica plant genomic center 
(Taiwan) … ❖The guidelines for the method of sequencing, sequence quality and release 
policy were developed largely on the same lines as the Human Genome Project …",https://www.researchgate.net/profile/Varsha-Gayatonde/publication/311545532_Rice_genomics/links/584bea7d08aeb989251f21d3/Rice-genomics.pdf,V Gayatonde - researchgate.net,0
Decoding the rice genome,"… Sequencing Project (IRGSP).(26) It was the third largest public genome project undertaken 
… BGI, like Syngenta, took the whole genome sequencing route to sequence the rice genome 
… plant genomes indicates that gene diversity in plants has probably arisen through genome …",https://onlinelibrary.wiley.com/doi/abs/10.1002/bies.20399,"S Vij, V Gupta, D Kumar, R Vydianathan… - …, 2006 - Wiley Online Library",2006
Collaboration and Sharing: A New Culture of International Genomics Community,"… from plant … , BGI has grown into one of the largest sequencing centres in the world. We set 
our research mission to ‘sequence every (living) thing on Earth and everybody in the world’. 
We co-initiated large-scale research projects, including the International 1000 Genomes Project…",http://www.ris.org.in/sites/default/files/perspective-march2012.pdf,"Y Su, Z Guo, H Yang - 2012 - ris.org.in",0
An International Campaign for Agricultural and Livestock Genomics (CALG),"… The Human Genome Project Consortium has also been sequencing mouse and rat genomes 
using this method. In this process, … We listed the time and cost for selected plant genomes 
in Table 2. … BGI current throughput and cost estimates for selected crop plant genome. …",https://www.worldscientific.com/doi/abs/10.1142/S0219030302001970,"J Yu, J Wang, H Yang - Asia-Pacific Biotech News, 2002 - World Scientific",2002
Towards an accurate sequence of the rice genome,"… BGI sequence The BGI strategy was to create a direct shotgun sequences of 93-11 with a 
x4 coverage [6 •• ] and PA64s with x2 coverage [16], representing 4.62 million successful 
runs. Their main problem was the automatic assembly of the reads, as nearly half of the rice …",https://www.sciencedirect.com/science/article/pii/S1369526603000104,"M Delseny - Current opinion in plant biology, 2003 - Elsevier",2003
The draft genome of a diploid cotton Gossypium raimondii,"… (a) The distribution curve for the number and insertion time of LTRs in different plant genomes. 
(b) Phylogeny of LTR retrotransposons in … raimondii genome size. Compared with other 
sequenced plant genomes, G. raimondii showed substantially lower gene density with a high …",https://www.nature.com/articles/ng.2371?message-global=remove&page=3,"K Wang, Z Wang, F Li, W Ye, J Wang, G Song, Z Yue… - Nature …, 2012 - nature.com",2012
