title,content,url,sub_title,year
BGI‐RIS: an integrated information resource and comparative analysis workbench for rice genomics,"… At the Beijing Genomics Institute (BGI), the major genome sequencing center in China, we
have been … Genome Project (SRGP) with full efforts to understand the genome biology of rice.
Using a whole‐genome‐shotgun approach, we have produced a draft genome sequence for …",https://academic.oup.com/nar/article-abstract/32/suppl_1/D377/2505285,"W Zhao, J Wang, X He, X Huang, Y Jiao… - Nucleic acids …, 2004 - academic.oup.com",2004
Plant genome sequencing: applications for crop improvement,"… genome in a collaboration between the Beijing Genome Institute in Shenzhen (BGI) and the
Institute of Vegetables and Flowers in Beijing, and it is expected that a high-quality genome
sequence … The BGI are currently sequencing a range of other crop species, though sequence …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-7652.2009.00459.x,"D Edwards, J Batley - Plant biotechnology journal, 2010 - Wiley Online Library",2010
China's sequencing powerhouse comes of age,"… a genomics conference here last November, immunologist Lennart Hammarström sat down
for a preliminary discussion with officials of the genome sequencing powerhouse BGI-… primary
immunodeficiency disorders would be to sequence patient genomes. He hoped to gauge …",https://science.sciencemag.org/content/335/6068/516.summary,D Normile - 2012 - science.sciencemag.org,0
10KP: A phylodiverse genome sequencing plan,"… The MGISEQ platform, a BGI-developed next-generation sequencing technology based on
DNA nanoballs and … genomics or single-tube long fragment reads from Complete Genomics
(a division of BGI). HiC libraries may also be used to construct chromosome-level genome …",https://academic.oup.com/gigascience/article-abstract/7/3/giy013/4880447,"S Cheng, M Melkonian, SA Smith, S Brockington… - …, 2018 - academic.oup.com",2018
Chinese institute makes bold sequencing play,"… China's BGI has become the largest next-generation genome sequencing center in the
world after it purchased 128 new HiSeq 2000 genome sequencers from Illumina. The deal was
announced in January by Jay Flatley, president and CEO of San Diego–based Illumina, at the …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7097335/,"J Fox, J Kling - Nature biotechnology, 2010 - ncbi.nlm.nih.gov",2010
Molecular digitization of a botanical garden: high-depth whole-genome sequencing of 689 vascular plant species from the Ruili Botanical Garden,"… Whole-genome sequencing libraries were constructed and then sequenced for each of
these samples using a BGISEQ-500 desktop sequencer developed by BGI-Shenzhen in
2015, according to the manufacturer's instructions [17]. This machine uses DNA nanoball and …",https://academic.oup.com/gigascience/article-abstract/8/4/giz007/5300088,"H Liu, J Wei, T Yang, W Mu, B Song, T Yang, Y Fu… - …, 2019 - academic.oup.com",2019
BGI Americas: Commercializing Next-Generation Sequencing,"… Like CHOP’s Curran, Weimer cites BGI’s informatics abilities as a strong draw; also similar to
CHOP, UCDavis has an established Genome Center already working on genome sequencing.
‘‘But when you have a partner that has scale across the world from the United States, …",https://www.cell.com/ccbio/pdf/S1074-5521(13)00217-2.pdf,"A McCarthy - Chemistry & biology, 2013 - cell.com",2013
"Identifying a large number of high-yield genes in rice by pedigree analysis, whole-genome sequencing, and CRISPR-Cas9 gene knockout","… For each target, a pair of DNA oligonucleotides with appropriate cloning linkers were
synthesized (BGI, Inc.). Each pair of oligonucleotides was phosphorylated, annealed, and
then ligated into BsaI-digested pRGEB31 vectors (Addgene no. 7722) (36). …",https://www.pnas.org/content/115/32/E7559.short,"J Huang, J Li, J Zhou, L Wang, S Yang… - Proceedings of the …, 2018 - National Acad Sciences",2018
Setaria genome sequencing: an overview,"… Zhang gu) was assembled by BGI using Illumina second generation sequencers that generated
a total of 16,903 contigs and 439 scaffolds covering a total length of 423 … Sanger sequencing
and whole genome sequencing Whole genome shotgun-next generation sequencing 4…",https://link.springer.com/content/pdf/10.1007/s13562-013-0216-8.pdf,"C Lata, M Prasad - Journal of plant biochemistry and biotechnology, 2013 - Springer",2013
It's more than stamp collecting: how genome sequencing can unify biological research,"… funding for plant genomes, but less for animals. The United States Department of Agriculture
has an obvious mandate for agricultural organisms, but not beyond those. By contrast, BGI
has taken a species of interest approach, with its 1000 animal and plant genomes project. …",https://www.sciencedirect.com/science/article/pii/S0168952515000888,"S Richards - Trends in Genetics, 2015 - Elsevier",2015
Chinese bioscience: the sequence factory,"… The BGI's solvency depends in part on scientists elsewhere paying to have microbe, plant and
human genomes sequenced and resequenced faster and better than they could themselves.
But like many sequencing centres, the BGI is looking to be more than a service provider. …",https://www.nature.com/articles/464022a,"D Cyranoski - Nature News, 2010 - nature.com",2010
Genome and Beyond BGI—A Success Story of Jumpstarting,"… The third element was that large pharmaceutical and biotechnological companies and
venture capitals, foreseeing commercial gains generated by the HGP, started to invest in human
genome sequencing and its related fields. This trend peaked in 1998, when the instrument …",https://www.google.com/books?hl=zh-CN&lr=&id=0rjUCgAAQBAJ&oi=fnd&pg=PA1&dq=BGI+plant+genome+sequencing&ots=uCTEByo8X_&sig=26-0MVPPP73re08fQ74W_lXBy-M,"B Liu, J Yu, J Wang, H Yang - A Holistic Approach To Rice …, 2003 - books.google.com",2003
Comparative performance of the BGI and Illumina sequencing technology for single-cell RNA-sequencing,"… , the Chromium by 10× Genomics. A total of 70 000 cells from all four scRNA-seq libraries
were sequenced with the MGISEQ-2000—a newer sequencing platform by BGI, and the
NextSeq 500 and NovaSeq 6000 sequencing platforms by Illumina. The performance of each …",https://academic.oup.com/nargab/article-abstract/2/2/lqaa034/5836690,"A Senabouth, S Andersen, Q Shi, L Shi… - NAR genomics and …, 2020 - academic.oup.com",2020
A host plant genome (Zizania latifolia) after a century‐long endophyte infection,"… genome, we sequenced the genome of a cultivated Zizania plant (Jiaobai cv. ‘Zhejiao2’) to
40-fold genome coverage (a total of 24.0 Gb of high-quality sequence … XG and CS performed
the genome sequencing and assembly; CS, LF and JW supervised the genome sequencing …",https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.12912,"L Guo, J Qiu, Z Han, Z Ye, C Chen, C Liu… - The Plant …, 2015 - Wiley Online Library",2015
Uncommon or garden genomics,"… capacity of DNA sequencing technologies, we have become used to seeing reports of
evermore ambitious genome sequencing projects. It no … The BGI team have taken samples of
all the plants in the Ruili Botanical Garden in southwest China, close to the border with Myanmar, …",https://www.nature.com/articles/s41477-019-0372-5,"C Surridge - Nature plants, 2019 - nature.com",2019
From Human Genome to Rice Genome and Beyond: BGI—A Success Story of Jumpstarting Genomic Projects,"… The third element was that large pharmaceutical and biotechnological companies and
venture capitals, foreseeing commercial gains generated by the HGP, started to invest in human
genome sequencing and its related fields. This trend peaked in 1998, when the instrument …",https://www.worldscientific.com/doi/abs/10.1142/S021903030200188X,"B Liu, J Yu, J Wang, H Yang - Asia-Pacific Biotech News, 2002 - World Scientific",2002
Large scale comparison of non-human sequences in human sequencing data,"… events, we analyzed non-human sequences in 150 genomic sequencing data files from the
1000 Genomes Project and observed that 0.13% of … This comparison, for example, indicated
that BGI and WUGSC sequenced crop plant genomes and domestic mammals, respectively. …",https://www.sciencedirect.com/science/article/pii/S0888754314001517,"H Tae, E Karunasena, JH Bavarva, LJ McIver… - Genomics, 2014 - Elsevier",2014
Exploring genetic variation in the tomato (Solanum section Lycopersicon) clade by whole‐genome sequencing,"… Here we have studied this genetic variation by genome sequencing a selection of representative
tomato accessions, which has … sequence trait relationships and the molecular mechanisms
of tomato genome evolution, as well as the development of genotyping‐by‐sequencing …",https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.12616,"100 Tomato Genome Sequencing Consortium… - The Plant …, 2014 - Wiley Online Library",2014
Bgi-Ris V2,"… In order to make thorough use of our updated knowledge about rice genomics, BGI conceived
of the Rice Information System (BGI-RIS V2) … (bp, unit of distance in genomic sequences).
Users can retrieve the above information as well as the genomic sequence of the marker. …",https://link.springer.com/protocol/10.1007/978-1-59745-535-0_13,"X He, J Wang - Plant Bioinformatics, 2007 - Springer",2007
The evolution of plant gene and genome sequencing,"… genome represents the highest-quality and most complete plant genome sequenced, and
the … The BGI created deeper sequencing depth, to both their published indica and japonica …
quality genome sequences of the indica genome sequence and the Syngenta japonica genome …",https://www.sciencedirect.com/science/article/pii/B9780124171633000032,"SA Goff, JC Schnable, KA Feldmann - Advances in Botanical Research, 2014 - Elsevier",2014
