title,content,url,sub_title,year
Report on the forest trees workshop at the plant and animal genome conference,"… a comparatively new large-scale project funded by Genome Canada. The overall structure 
and goals of the project on comparative genomics in poplar/… This project has arisen from the 
Populus genome sequencing project. Chloroplast contamination in the DNA template used for …",https://downloads.hindawi.com/journals/ijg/2003/706495.pdf,"C Plomion, J Cooke, T Richardson… - Comparative and …, 2003 - downloads.hindawi.com",2003
The evolution of the genome,"… -authored discussions of the key areas in genome biology. This includes the evolution of 
genome size, genomic parasites, gene and ancient genome duplications, polypoidy, comparative 
genomics, and the implications of these genome-level phenomena for evolutionary theory. …",https://www.google.com/books?hl=zh-CN&lr=&id=8HtPZP9VSiMC&oi=fnd&pg=PP2&dq=animal+genome+project&ots=Dt1dhE4Wou&sig=Q8tr_kfJhrMDV3d1Sug7bKnOPJo,TR Gregory - 2011 - books.google.com,0
"Genome to phenome: improving animal health, production, and well-being–a new USDA blueprint for animal genome research 2018–2027","… genome-enabled technologies in animal production. These efforts will be a continuation of 
those described in the previous animal genome … is used only in the project in which it was 
generated, whereas genomic re-sequence data and animal genotype data are routinely used …",https://www.frontiersin.org/articles/10.3389/fgene.2019.00327/full?report=reader,"C Rexroad, J Vallet, LK Matukumalli, J Reecy… - Frontiers in …, 2019 - frontiersin.org",2019
Pharmacogenetic applications of the Human Genome project,"… A combination of in vitro studies, animal model experiments and clinical trials is required to 
… can only be determined going back to the bench and performing in vitro or animal studies. 
… be able to capitalize on the wealth of information provided from the Human Genome Project. …",https://www.nature.com/articles/nm0301_281,"SB Liggett - Nature medicine, 2001 - nature.com",2001
Toward a genome sequence for every animal: Where are we now?,"… assemblies in GenBank, the world’s most extensive genetic database, for 3,278 unique 
animal … Furthermore, we show that animal genome science has diversified in recent years with 
an ever-… Project—a self-described biological “moonshot”—the rate and mean quality of animal …",https://www.pnas.org/content/118/52/e2109019118.short,"S Hotaling, JL Kelley… - Proceedings of the …, 2021 - National Acad Sciences",2021
The Pig genome project has plenty to squeal about,"… A 60K chip has been developed and distributed by the International Swine SNP Consortium 
and Illumina for the pig community, and it will serve as an extremely useful tool for a variety 
of research fields including animal genetic evaluation, whole-genome association, LD …",https://www.karger.com/Article/Abstract/324043,"B Fan, DM Gorbach, MF Rothschild - Cytogenetic and genome research, 2011 - karger.com",2011
Sequencing technologies and genome sequencing,"… In the relatively short time frame since 2005, the HT-NGS technologies are revolutionizing the 
human and animal genome researches by … sequencing of the first human genome in 2003 
taking into account 13-years of efforts of the human genome project consortium, and with an …",https://link.springer.com/article/10.1007/s13353-011-0057-x,"CS Pareek, R Smoczynski, A Tretyn - Journal of applied genetics, 2011 - Springer",2011
"Coordinated international action to accelerate genome-to-phenome with FAANG, the Functional Annotation of Animal Genomes project","… We describe the organization of a nascent international effort, the Functional Annotation of 
Animal Genomes (FAANG) project, whose aim is to produce comprehensive maps of functional 
elements in the genomes of domesticated animal species. … We believe this will allow a more …",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-015-0622-4,"L Andersson, AL Archibald… - Genome …, 2015 - genomebiology.biomedcentral.com",2015
Convergence of ion channel genome content in early animal evolution,"… The early evolution of animal nervous systems is poorly understood, but comparative … 
different animal lineages. In this work, we explore the history of the gene families most central to 
nervous system function: ion channels. We track when these gene families expanded in animal …",https://www.pnas.org/content/112/8/E846.short,"BJ Liebeskind, DM Hillis… - Proceedings of the …, 2015 - National Acad Sciences",2015
Sequencing a New Target Genome: The Boophilus microplus (Acari: Ixodidae) Genome Project,"… microplus, as a one-host tick, is closely associated with its bovine host, with female ticks 
leaving the animal only for oviposition. Genome … It is anticipated that genome sequence 
information generated by publicly funded portions of this project will be disseminated soon after …",https://academic.oup.com/jme/article-abstract/43/1/9/956583,"FD Guerrero, VM Nene, JE George… - Journal of medical …, 2006 - academic.oup.com",2006
De novo genome assembly: what every biologist should know,"… genome assembly varies by organism, says Daniel Rokhsar, eukaryotic group leader at the 
Joint Genome Institute, who has worked on plant, fungal and animal … “Every de novo genome 
project should have a parallel RNA-seq project,” says Ian Korf. Besides identifying the intron-…",https://www.nature.com/articles/nmeth.1935,"M Baker - Nature methods, 2012 - nature.com",2012
"The Bermuda Triangle: The pragmatics, policies, and principles for data sharing in the history of the human genome project","… The Bermuda Principles for DNA sequence data sharing are an enduring legacy of the 
Human Genome Project (HGP). They were … served the pragmatic goals of quality control and 
project coordination. Yet in the HGP human genome, we also argue, the Bermuda Principles …",https://link.springer.com/article/10.1007/s10739-018-9538-7,"KM Jones, RA Ankeny, R Cook-Deegan - Journal of the History of Biology, 2018 - Springer",2018
Genomics: the science and technology behind the human genome project,"… GENOME SIZES The purpose of the human genome project is to map and sequence the 
human genome and ﬁnd all of the genes it … Thus model organisms are a necessary part of 
the genome project. Considerable thought has gone into the choice of model organisms. In …",https://www.google.com/books?hl=zh-CN&lr=&id=rtq1bS7g-OEC&oi=fnd&pg=PR7&dq=animal+genome+project&ots=uIwiaKSbQ9&sig=7mXHAFqqbpb7UCbe1V9Ky8e8EbM,"CR Cantor, CL Smith - 2004 - books.google.com",0
