title,content,url,sub_title,year
Sequencing technologies and genome sequencing,"… (HT-NGS) technologies are currently the hottest topic in the field of human and animals 
genomics researches, which can produce over 100 times more data compared to the most 
sophisticated capillary sequencers based on the Sanger method. With the ongoing developments …",https://link.springer.com/article/10.1007/s13353-011-0057-x,"CS Pareek, R Smoczynski, A Tretyn - Journal of applied genetics, 2011 - Springer",2011
Whole-genome sequencing of 234 bulls facilitates mapping of monogenic and complex traits in cattle,"… the same time considering animal health and welfare by providing the annotated sequence 
variants and genotypes of … genome sequence for each of these genotyped individuals and 
to thus provide a discovery population with millions of animals, each with a genome sequence…",https://www.nature.com/articles/ng.3034,"HD Daetwyler, A Capitan, H Pausch, P Stothard… - Nature …, 2014 - nature.com",2014
Genome sequencing and analysis of the model grass Brachypodium distachyon.,"… Here we describe the genome sequence of the wild grass Brachypodium distachyonbrachypodium 
distachyonSubject Category: … for analysis of the large genomes of economically important 
pooid grasses such as wheat. The high-quality genome sequence, coupled with ease of …",https://www.cabdirect.org/cabdirect/abstract/20103050459,"International Brachypodium Initiative - Nature (London), 2010 - cabdirect.org",2010
Genome sequencing reveals insights into physiology and longevity of the naked mole rat,"… Here we report the sequencing and analysis of the naked mole rat genome, which reveals 
unique genome features and molecular … To summarize, sequencing and analysis of the 
NMR genome revealed numerous insights into the biology of this remarkable animal. In …",https://www.nature.com/articles/nature10533,"EB Kim, X Fang, AA Fushan, Z Huang, AV Lobanov… - Nature, 2011 - nature.com",2011
The Amphimedon queenslandica genome and the evolution of animal complexity,"… group of animals that diverged from other metazoans over 600 million years ago. Here we 
present the draft genome sequence of Amphimedon queenslandica, a demosponge from the 
Great Barrier Reef, and show that it is remarkably similar to other animal genomes in content, …",https://www.nature.com/articles/nature09201,"M Srivastava, O Simakov, J Chapman, B Fahey… - Nature, 2010 - nature.com",2010
The genome sequence of taurine cattle: a window to ruminant biology and evolution,"… animals as easy meat. Soon other possibilities became apparent, and as revealed in a series 
of papers in this issue, early pastoralists became selective about breeding for wool, leather, 
milk, and muscle power. In two papers, Gibbs et al. report on the bovine genome sequence (…",https://www.science.org/doi/abs/10.1126/science.1169588,"Bovine Genome Sequencing and Analysis Consortium… - Science, 2009 - science.org",2009
Genome sequencing and population genomics in non-model organisms,"… current status of genome sequencing in non-model organisms of animals, plants, and other 
eukaryotes, and what the sequences can inform about evolution. I then discuss the state of 
the art in the field of population genomics in which whole-genome sequencing of population …",https://www.sciencedirect.com/science/article/pii/S0169534713002310,"H Ellegren - Trends in ecology & evolution, 2014 - Elsevier",2014
Sequence and comparative analysis of the chicken genome provide unique perspectives on vertebrate evolution.,"… In all vertebrate and most other animal genomes studied thus far, at least one recently or 
currently active SINE family has been found, mostly derived from a transfer RNA and often 
constituting the most numerous interspersed repeat. It is therefore remarkable that the abundant …",https://escholarship.org/uc/item/44v0c3r5,"International Chicken Genome Sequencing … - Nature, 2004 - escholarship.org",2004
The dynamic genome of Hydra,"… We also report the sequence of the genome of a novel bacterium stably associated with H. 
magnipapillata. Comparisons of the Hydra … of the Hydra genome sequence and methods to 
manipulate it 30 provide an opportunity to understand how this remarkable animal evolved. …",https://www.nature.com/articles/nature08830,"JA Chapman, EF Kirkness, O Simakov, SE Hampson… - Nature, 2010 - nature.com",2010
Animal models of human placentation–a review,"… The rabbit is well established as a laboratory animal and has been used for studies of placental 
circulation and placental transfer [31], [32]. … for housing of this rather large animal. However, 
the rabbit is among species selected for genome sequencing and is no more distant from …",https://www.sciencedirect.com/science/article/pii/S0143400406002724,"AM Carter - Placenta, 2007 - Elsevier",2007
