title,content,url,sub_title,year
Advances in plant genome sequencing,"The study of plant biology in the 21st century is, and will continue to be, vastly different from that in the 20th century. One driver for this has been the use of genomics methods to reveal the genetic blueprints for not one but dozens of plant species, as well as resolving genome  …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-313X.2012.04894.x,"JP Hamilton, C Robin Buell - The Plant Journal, 2012 - Wiley Online Library",2012
Plant genome sequencing: applications for crop improvement,DNA sequencing technology is undergoing a revolution with the commercialization of second generation technologies capable of sequencing thousands of millions of nucleotide bases in each run. The data explosion resulting from this technology is likely to continue to …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-7652.2009.00459.x,"D Edwards, J Batley - Plant biotechnology journal, 2010 - Wiley Online Library",2010
Current challenges in de novo plant genome sequencing and assembly,"… Genome sequencing is now affordable, but assembling plant genomes de novo remains 
challenging. We assess the state of the art of assembly and review the best practices for the 
community. … We are still many years away from push-button sequencing and assembly of …",https://genomebiology.biomedcentral.com/articles/10.1186/gb-2012-13-4-243,"MC Schatz, J Witkowski… - Genome …, 2012 - genomebiology.biomedcentral.com",2012
Plant genome sequencing—applications for crop improvement,"It is over 10 years since the genome sequence of the first crop was published. Since then, the number of crop genomes sequenced each year has increased steadily. The amazing pace at which genome sequences are becoming available is largely due to the improvement …",https://www.sciencedirect.com/science/article/pii/S0958166913006435,"ME Bolger, B Weisshaar, U Scholz, N Stein… - Current opinion in …, 2014 - Elsevier",2014
A critical comparison of technologies for a plant genome sequencing project,"Background A high-quality genome sequence of any model organism is an essential starting point for genetic and other studies. Older clone-based methods are slow and expensive, whereas faster, cheaper short-read–only assemblies can be incomplete and highly …",https://academic.oup.com/gigascience/article-abstract/8/3/giy163/5281243,"P Paajanen, G Kettleborough, E López-Girona… - …, 2019 - academic.oup.com",2019
10KP: A phylodiverse genome sequencing plan,"… of green plants representing most of the known diversity within Viridiplantae, we are now 
aiming to sequence complete genomes from more than 10,000 plants and … Specifically, we 
will sequence genomes from at least 8000 seed-plant genera (Figure 1), at least 1000 nonseed …",https://academic.oup.com/gigascience/article-abstract/7/3/giy013/4880447,"S Cheng, M Melkonian, SA Smith, S Brockington… - …, 2018 - academic.oup.com",2018
Isolation and analysis of high quality nuclear DNA with reduced organellar DNA for plant genome sequencing and resequencing,"High throughput sequencing (HTS) technologies have revolutionized the field of genomics by drastically reducing the cost of sequencing, making it feasible for individual labs to sequence or resequence plant genomes. Obtaining high quality, high molecular weight DNA …",https://link.springer.com/article/10.1186/1472-6750-11-54,"KA Lutz, W Wang, A Zdepski, TP Michael - BMC biotechnology, 2011 - Springer",2011
Crop genome sequencing: lessons and rationales,"2010 marks the 10th anniversary of the completion of the first plant genome sequence (Arabidopsis thaliana). Triggered by advancements in sequencing technologies, many crop genome sequences have been produced, with eight published since 2008. To date …",https://www.sciencedirect.com/science/article/pii/S1360138510002311,"C Feuillet, JE Leach, J Rogers, PS Schnable… - Trends in plant …, 2011 - Elsevier",2011
The first 50 plant genomes,"… What have we learned from the first wave of plant genomes? It has been said that … One of 
the forces driving the rapid increase in fully sequenced plant genomes is the exponential 
decrease in cost and speed of genome sequencing fueled by high throughput DNA sequencing (…",https://core.ac.uk/download/pdf/194193971.pdf,"TP Michael, S Jackson - The plant genome, 2013 - core.ac.uk",2013
"Plant genome sequences: past, present, future","… Whole genome sequencing has become an increasingly routine technique in biology, with 
substrates ranging from bacteria [1] to humans [2,3], for an increasing variety of use cases 
drawn from medicine, agriculture, biotechnology, and fundamental research. A complete …",https://www.sciencedirect.com/science/article/pii/S1369526618300918,"PJ Kersey - Current opinion in plant biology, 2019 - Elsevier",2019
