title,content,url,sub_title,year
一种动物基因组DNA 提取方法的改进,"… 一种动物基因组ＤＮＡ提取方法的改进 … 中国科学院动物研究所农业害虫害鼠综合治理研究
国家重点实验室，北京１０００８０ … 摘要：介绍一种动物基因组ＤＮＡ提取方法。该方法具有简便、快速
、实用的特点，所获得的ＤＮＡ数量和质量都很高，可用于各种分子生物学实验。 …",http://www.cqvip.com/qk/94741x/200101/4866125.html,"汪永庆， 王新国 - 动物学杂志, 2001 - cqvip.com",2001
两种动物基因组DNA 提取方法的比较,"分别用酚抽提法和盐洗法提取鼠, 鲤, 鲍三种动物基因组DNA, 利用分光光度计测定其OD260 与OD280 的吸光值, 计算比率估计核酸的纯度, 并利用琼脂糖凝胶电泳观察DNA 片段在凝胶中的位置, 鉴定DNA. 最终确定了一种简便, 快捷, 经济并适用于大多数动物基因组 …",http://www.cqvip.com/qk/96641x/200501/15325283.html,"肖波， 李岩， 屈慧歌， 王艳华 - 烟台师范学院学报: 自然科学版, 2005 - cqvip.com",2005
CRISPR/Cas9 基因组编辑技术及其在动物基因组定点修饰中的应用,"CRISPR/Cas 系统是细菌和古生菌中抵抗外源病毒或质粒入侵的获得性免疫系统, 利用CRISPR RNAs (crRNAs) 引导Cas 核酸酶沉默入侵的核酸. 通过分子生物学改造使Ⅱ 型CRISPR/Cas 系统成为一种高效的基因组定点修饰技术, 并且比锌指核酸酶(Zinc-finger nucleases, ZFNs) …",http://ir.ioz.ac.cn/bitstream/000000/10900/1/CRISPR_Cas9%E5%9F%BA%E5%9B%A0%E7%BB%84%E7%BC%96%E8%BE%91%E6%8A%80%E6%9C%AF%E5%8F%8A%E5%85%B6%E5%9C%A8%E5%8A%A8%E7%89%A9%E5%9F%BA%E5%9B%A0%E7%BB%84%E5%AE%9A%E7%82%B9%E4%BF%AE%E9%A5%B0%E4%B8%AD%E7%9A%84%E5%BA%94%E7%94%A8.pdf,周金伟， 徐绮嫔， 姚婧， 余树民， 曹随忠 - 2015 - ir.ioz.ac.cn,0
动物基因组学重测序的应用研究进展,"随着第二代测序技术的研发和应用, 基因组学的研究不断出新, 为其带来了更新的科研方法和解决方案. 基因组测序可以更深地了解一个物种的分子进化, 基因组成和基因调控等特点, 特别基因组重测序技术的发展和应用, 将基因组学的研究推向了多领域, 多样化 …",http://www.cqvip.com/qk/91152x/201610/670310089.html,"汪文强， 赵生国， 马利青， 郭继军， 马月辉， 赵倩君 - 畜牧兽医学报, 2016 - cqvip.com",2016
一种提取动物基因组总DNA 的野外样品保存方法,"为了确定一种方便的野外动物样品保存方法, 以新鲜材料作对照, 从-20℃ 冰箱, 70% 乙醇, 含50mmol/L EDTA 的70% 乙醇, 95% 乙醇, 液氮处理的高原鼠肌肉和肝脏组织中提取基因组总DNA. 通过琼脂糖凝胶电泳和紫外分光光度计对提取的基因组总DNA 质量进行检测. 结果显示 …",http://www.cqvip.com/qk/93406x/200603/1000027101.html,"蔡振媛， 张同作， 连新明， 慈海鑫， 苏建平 - 四川动物, 2006 - cqvip.com",2006
粪便不同保存方法对动物基因组DNA 提取效果的影响,"目的为了探索一种既能使野外采集的粪便样品DNA 保存完好, 又方便带回实验室用于分子水平研究的粪便保存方法. 方法本研究通过将普氏原羚的粪便在野外分别采取60℃ 干燥后低温保存, 75% 乙醇保存, 100% 乙醇保存, 直接低温(保温箱中加生物冰袋) 保存, 在1 个月内, 5 个月后, 8 …",http://www.cqvip.com/qk/92815a/200605/23149535.html,"李娜， 李迪强， 王秀磊， 刘毅 - 国际遗传学杂志, 2006 - cqvip.com",2006
动物基因组定点整合转基因技术研究进展,"传统转基因技术, 如显微注射, 转座子, 慢病毒转染等将目的基因插入基因组内的整合方式是随机的, 这些随机整合对后期转基因动物品系组建和育种带来诸多不利, 因此有研究人员提出了定点整合转基因技术. 目前该技术的定点整合效率非常低, 主要取决于两个方面: 一是靶位点产生DNA …",http://www.chinagene.cn/CN/Y2017/V39/I2/98,"李国玲， 钟翠丽， 莫健新， 全绒， 吴珍芳， 李紫聪… - 遗传, 2017 - chinagene.cn",2017
鱼类和水生动物基因组作图研究的现状及前景,"遗传标记一般可分为形态学标记, 细胞学标记, 生化标记和DNA 分子标记. 其中只有DNA 分子标记是核昔酸水平上遗传变异的直接反映, 其余3 种类型都是以基因表达的结果(表现型) 为基础. DNA 分子标记具有能对各个发育时期的个体, 各种组织器官甚至单个细胞做出检验 …",https://www.researchgate.net/profile/Ka-Hou-Chu/publication/259695824_Current_status_and_prospect_of_studies_on_genome_mapping_of_fish_and_aquatic_animals/links/0c96052d60cdfab9d1000000/Current-status-and-prospect-of-studies-on-genome-mapping-of-fish-and-aquatic-animals.pdf,童金苟， 朱嘉濠， 吴清江 - 2001 - researchgate.net,0
不同动物部分组织基因组甲基化程度的差异分析,"应用甲基敏感扩增多态性(MSAP) 技术, 检测和分析了猪, 牛, 羊, 小鼠, 鸡和鸭基因组的甲基化程度. 结果表明, 对CCGG 位点, 实验中检测的几种动物的甲基化程度多数在0.40-0.50 之间(不包括牛); 不同动物来源相同组织基因组的甲基化程度不同, 相同动物不同组织基因组的甲 …",http://www.cqvip.com/qk/97947x/200604/23243726.html,"唐韶青， 张沅， 徐青， 孙东晓， 俞英 - 农业生物技术学报, 2006 - cqvip.com",2006
乙醇保存的动物标本基因组DNA 提取方法的比较,"为提高从乙醇长期保存的动物标本中提取大分子DNA 的质量, 用5 种不同方法对动物组织进行预处理实验, 然后采用SDS/蛋白酶K 裂解, 酚-氯仿抽提和乙醇沉淀提取总DNA, 通过0.8% 琼脂糖凝胶对模板进行电泳和PCR 产物作鉴定, 经比较, 用0.9% NaCl 法, PBS …",http://www.cqvip.com/qk/92127x/200406/11293839.html,"张德华， 周开亚， 孙红英 - 生物学杂志, 2004 - cqvip.com",2004
基于直向同源序列的比较基因组学研究,"… 向未知的序列 转移信息。模式生物基因组序列的完成和其他物种 中大量表达序列的积累, 为比较
基因组分析提供了 丰富的、宝贵的资源[2]… 动物进行比较, 也可能为进化过程 中基因在各物种中
的演变研究提供信息和基础[12, 13]。 人类和小鼠基因组测序的完成, 已经为其他哺 乳动物基因组…",http://www.chinagene.cn/EN/Y2009/V31/I5/457,"潘增祥， 许丹， 张金璧， 林飞， 吴宝江， 刘红林 - 遗传, 2009 - chinagene.cn",2009
小麂线粒体基因组全序列的测定和分析,"… 动物线粒体基因组全序列的首次报道* 与其他哺乳动物线粒体基因组全序列的比较研究发现#全
长为)""’&$3-的小麂线粒体… !基因组中各种基因序列存在较高或至少 中等程度的保守性""上述情况
说明哺乳动物线粒体 基因组的结构具有高度保守性#尤其在蛋白质和 /I5H区域""而线粒体基因组的…",http://www.chinagene.cn/EN/Y2004/V26/I6/849,"张晓梅， 单祥年， 施燕峰， 张海军， 李健， 郑爱玲 - 遗传, 2004 - chinagene.cn",2004
流感病毒基因组结构及其编码蛋白研究进展,"由流感病毒引起的流感是严重危害人类和畜禽健康的一种传染病. 此病的暴发给世界上许多国家和地区造成了巨大的经济损失. 对流感病毒基因组结构及其编码蛋白质的研究有助于进一步加强对流感的治疗和预防. 流感病毒含8 个负链单股独立的RNA 片段, 共编码10 种蛋白 …",http://www.cqvip.com/qk/90001a/200401/8878874.html,"闫若潜， 杜向党 - 动物医学进展, 2004 - cqvip.com",2004
基因组编辑技术与模式动物,"随着高通量测序技术的发展, 后基因组时代的研究重点已转移至如何阐明基因功能. 以胚胎干细胞(ES) 和同源重组为基础的基因打靶技术在生命科学及医学研究中做出了重要贡献, 但存在打靶效率低, 耗时长, 有物种限制等缺点. 近年来, 锌指核酸酶(ZFNs) …",https://www.lifescience.net.cn/webadmin/upload/201512.pdf,"琚存祥， 赵静， 高翔 - 生命科学, 2015 - lifescience.net.cn",2015
冠状病毒基因组及其编码蛋白,"冠状病毒宿主范围广泛, 不同种动物(禽, 火鸡, 猪等) 分离株又有众多血清型, 最重要的特征之一是具有高度的变异性, 所以对冠状病毒的系统研究一直是个难点. 对其中某些病原体(如犬, 猫冠状病毒等) 的研究也相对较少. 但最近出现的严重急性呼吸系统 …",http://www.cqvip.com/qk/90001a/200402/9251657.html,"刘惠莉， 陆承平 - 动物医学进展, 2004 - cqvip.com",2004
蜘蛛基因组DNA 提取方法的比较,"蜘蛛基因组DNA提取方法的比较-【维普网】-仓储式在线作品出版平台-www.cqvip.com … 蜘蛛
基因组DNA提取方法的比较 … 摘要：分别用SDS法、SK251基因组DNA小量抽提试剂盒法、自制
试剂盒法,对蜘蛛组织的基因组DNA进行了提取.经比较,自制试剂盒法为提取蜘蛛基因组DNA最 …",http://www.cqvip.com/qk/94741x/200206/7140699.html,"童丽娟， 王亚军， 潘志崇， 孙彩霞， 张永靖 - 动物学杂志, 2002 - cqvip.com",2002
绵羊基因组研究进展,"… #J&""年$美国科学i C>.H6ED.21/7:W 指出基因组学 !Q18.H7:E""是对所有基因进行基因组作图
)核酸序列分 析)基因定位和基因功能分析的·门科学%#&’随着人类基因 组计划的实施而开展的动物
基因组计划受到了科学界和各 国政府的支持$欧盟和美国都启动了动物基因组计划’在畜 禽方面…",http://www.chinagene.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=947,"郭晓红， 储明星， 周忠孝 - 遗传, 2004 - chinagene.cn",2004
新城疫病毒基因组与基因演化,"新城疫在世界范围内出现了4 次大流行, 造成了极大的经济损失和贸易影响. 虽然新城疫病毒仅有1 个血清型, 但不同毒株生物学特性和毒力相差很大. 近来, 病毒宿主谱扩大, 开始感染水禽, 造成鹅的大规模发病. 经典的新城疫病毒基因组长度为15 186 个核苷酸(nt), 如La …",http://www.cqvip.com/qk/90001a/200510/20375649.html,"唐一鸣 - 动物医学进展, 2005 - cqvip.com",2005
不同浓度Cd^ 2+ 对鲤鱼基因组DNA 的影响,"… 鲤鱼是低 等脊椎动物，其相近种类草鱼、鲫鱼都有相关研究报道，所 以其基因组也可能存在甲基
化现象. 本试验先用不同浓度镉 离子（C … 基因组DNA甲基化变化进行研究，以期初步 了解鲤鱼
的基因组DNA甲基化在不同浓度C  2+处理下的变 化，为进一步的重金属污染对水生动物基因组…",http://www.cibj.com/Upload/PaperUpLoad/6178fac3-8091-4fdf-90b9-561208f81683.pdf,"曹哲明， 杨健 - 应用与环境生物学报, 2010 - cibj.com",2010
猪繁殖与呼吸综合征病毒基因组遗传变异分析,"猪繁殖与呼吸综合征病毒(PRRSV) 是80 年代后期新发生的危害世界养猪业的一大疫病, 该病造成妊娠母猪流产, 死产等繁殖障碍和仔猪呼吸道疾病, 导致死亡率升高, 生长发育受阻, 给世界养猪业造成了灾难性的经济损失. 虽然国内外学者对PRRS 进行了大量的研究 …",http://www.cqvip.com/qk/90001a/2003003/8997613.html,"史喜菊， 韩春来， 夏春， 汪明 - 动物医学进展, 2003 - cqvip.com",2003
雌激素的非基因组途径在哺乳动物雌性生殖过程中的作用机制,"摘要雌激素的非基因组调节模式在雌性生殖系统中广泛存在. 雌激素通过基因组, 非基因组及两种调节模式的整合在不同组织中行使多种生理功能. 卵巢中雌激素能通过非基因组效应对卵细胞起到保护作用. 子宫中雌激素对多种基因的表达都是通过非基因组模式 …",https://core.ac.uk/download/pdf/41387785.pdf,"梁晓欢， 杨增明 - 生物化学与生物物理进展, 2010 - core.ac.uk",2010
三疣梭子蟹基因组微卫星特征分析,"… 摘要：对三疣梭子蟹（Portunustrituberculatus）部分基因组DNA文库测序，获得了总长度为
622409个碱基的基因组DNA序列，从中找到微卫星重复序列（1～6bp重复）697个。统计微卫星重复
类型，以两碱基重复数目最多，为445个，占微卫星序列总数目的63．84％；其次是三碱基重复152个…",http://www.cqvip.com/qk/98270x/200805/28444286.html,"宋来鹏， 刘萍， 李健， 刘振辉 - 中国水产科学, 2008 - cqvip.com",2008
缅甸陆龟线粒体全基因组的测序及分析,"本文参照近缘物种的线粒体基因组序列, 设计17 对特异引物, 采用LD—PCR, PCR 及测序技术获得了我国广西产缅甸陆龟的线粒体全基因组序列, 分析了其基因组特点和各基因的定位. 结果表明: 缅甸陆龟线粒体基因组全长为16813bp, 碱基组成为35.30% A, 26.47% T …",http://www.cqvip.com/qk/94056x/200701/23877142.html,"张颖， 聂刘旺， 宋娇莲 - 动物学报, 2007 - cqvip.com",2007
动物功能基因组学研究进展,"随着基因学的发展, 研究方向已经从结构基因组学逐步转向功能基因组学, 进入了后基因组时代, 揭秘基因的生物学功能, 能够批量分析基因, 提高效率. 功能基因组学在动物领域的研究已经取得了一定的成果. 本文主要对功能基因组学的概念, 研究方法以及动物功能基因组学的研究进展 …",http://zhuye.aiijournal.com/CN/abstract/abstract17406.shtml,"宋志芳， 邢荷岩， 解佑志， 芦春莲， 曹洪战 - 中国猪业, 2021 - zhuye.aiijournal.com",2021
动物转基因新技术研究进展,"… 合到受体动物基因组中, 从而使其得以表达和遗传的生物技术。动物转基因的关键限制因素是… , 
转基因技术必将在探讨基因功能、动物遗传改良、生物反应器、动物疾病模型、器官移植等领域有… 
, 还可以将 外源基因转入动物基因组, 获得基因敲入的转基因 动物。美国犹他大学Eccles人类遗传…",http://www.chinagene.cn/EN/Y2010/V32/I6/539,"孙振红， 苗向阳， 朱瑞良 - 遗传, 2010 - chinagene.cn",2010
赤麂线粒体全基因组的序列和结构,"提取赤麂细胞株总DNA, 参照我们实验室已测定的同属动物小麂线粒体全基因组序列设计引物, PCR 扩增, 测序, 拼接, 获得赤麂线粒体全基因组序列并进行生物信息学分析. 赤麂线粒体全基因组序列全长16 354bp. 定位了22 个tRNA 基因, 2 个rRNA 基因, 13 …",http://www.cqvip.com/qk/94056x/200305/8763622.html,"施燕峰， 单祥年， 李健， 张晓梅， 张海军 - 动物学报, 2003 - cqvip.com",2003
哺乳动物早期胚胎的基因表达及其调控,"… 摘要：哺乳动物的早期发育包括合子的形成、胚胎基因组的活化和细胞开始分化等.在这段时期
,精蛋白被组蛋白取代;二倍体形成后甲基化的单倍体亲本基因组经历了脱甲基作用;母本控制的发育
被合子控制所取代.此外,在染色体调节的转录抑制状态形成之后,胚胎基因组活化,但基因的有效…",http://www.cqvip.com/qk/93406x/200501/15234407.html,"王正朝， 王锋， 周冬仁， 潘晓燕 - 四川动物, 2005 - cqvip.com",2005
东方田鼠特异DNA 片段的克隆及核苷酸序列分析,"… 两侧序列,合成引物并扩增东方田鼠基因组DNA,将PCR产物回收、测序后,分别设计内引物扩增
东方田鼠基因组DNA,其中一对引物可得到特异性… /6J小鼠基因组DNA,均无扩增产物.以东方田鼠
特异性扩增产物为探针进行斑点杂交,除东方田鼠基因组DNA外,其他几种动物基因组DNA均为阴性…",http://www.cqvip.com/qk/84024x/200102/11761179.html,"杨榕， 胡维新， 朱敏， 彭兴华 - 中国实验动物学报, 2001 - cqvip.com",2001
芋螺基因组DNA 提取方法的优化,"… 摘要：热带药用海洋生物芋螺产生的芋螺毒素(Conotoxin),已成为神经科学研究的有力工具药
和新药开发的新来源.近来出现了从芋螺基因组DNA中克隆新型芋螺毒素基因的新方法,因而快速
获得芋螺基因组DNA是分离多样性毒素基因、建立基因库及药用芋螺基因资源开发的前提.本研究…",http://www.cqvip.com/qk/91183x/200401/9127344.html,"罗素兰， 张本， 长孙东亭 - 中国海洋药物, 2004 - cqvip.com",2004
膜翅目昆虫干标本的基因组DNA 提取,"… 膜翅目昆虫干标本的基因组DNA提取 《动物分类学报》2002年第4期 | 朴美花 … 摘要：提出了
膜翅目昆虫干标本基因组DNA的提取方法,通过对实验结果和所测得的基因片段(28S D2 rDNA)的
分析,表明该方法可行. …",http://www.cqvip.com/qk/90158x/200204/6900503.html,"朴美花， 陈学新， 何俊华 - 动物分类学报, 2002 - cqvip.com",2002
全基因组选择育种策略及在水产动物育种中的应用前景,"全基因组选择的概念自2001 年由Meuwissen 等提出后便引起了动物育种工作者的广泛关注. 目前, 澳大利亚, 新西兰, 荷兰, 美国的研究小组已经应用该方法进行了优质种牛的选择育种, 并取得了很好的效果. 此外在鸡和猪的选择育种中也有该方法的应用. 但在水产动物选育中尚未 …",https://www.researchgate.net/profile/Fuhua-Li-4/publication/269503050_Strategy_of_whole_genomic_selection_breeding_and_its_application_prospect_in_aquaculture/links/549231950cf2484a3f3e0acf/Strategy-of-whole-genomic-selection-breeding-and-its-application-prospect-in-aquaculture.pdf,"于洋， 张晓军， 李富花， 相建海 - 中国水产科学, 2011 - researchgate.net",2011
用RAPD 技术对5 种经济海胆基因组DNA 多态性的研究,"利用随机扩增多态DNA技术对紫海胆(Anthocidaris crassispina),海刺猬(Glyptocidaris 
crenularis),马粪海胆(Hemicentrotus pulcherrimus),光棘球海胆(Strongylocentrotus nudus)和中间
球海胆(Strongylocentrotus intermedius)等我国最主要的5种经济类海胆基因组DNA的多态性进行…",http://www.cqvip.com/qk/98270x/200402/9523431.html,"常亚青， 丁君， 邢荣莲， 宋林生， 倪多娇 - 中国水产科学, 2004 - cqvip.com",2004
宏基因组学用于瘤胃微生物代谢的研究进展,"瘤胃微生物生态群落是一个非常复杂的生物体系, 有着巨大的基因资源以及丰富的生态资源. 宏基因组学通过免培养技术, 研究生境中全部微小生物遗传物质的总和, 在研究瘤胃微生物代谢和开发瘤胃微生物资源上展示出强劲的优势. 该技术的应用有望解决反刍动物营养研究中诸多 …",http://www.cqvip.com/qk/98510x/201003/34119168.html,"王佳堃， 安培培， 刘建新 - 动物营养学报, 2010 - cqvip.com",2010
哲罗鱼基因组微卫星富集文库的构建与分析,"… 基因组DNA经MboⅠ限制性内切酶消化后，选取400-900bp的片段，用生物素标记的简单重复
序列（ACA）15作探针与其杂交，杂交复合物结合到包被有链霉亲和素的磁珠上，获得目的片段，连接
T载体克隆，构建基因组… 表明（ACA／TGT）。在哲罗鱼基因组DNA中含最非常丰富。本研究旨为…",http://www.cqvip.com/qk/98270x/200602/21374031.html,"佟广香， 鲁翠云， 匡友谊， 梁利群， 尹家胜， 孙效文 - 中国水产科学, 2006 - cqvip.com",2006
鸡基因组研究新进展,"… 蛋白质编码基因在人类中能 找到同源基因)同时$国际科学家小组通过比较鸡% 鼠和人的基因组
的分子重排数量%调控区%非编码区 和基因组扩展率$对脊椎动物基因组的进化进行了 研究&*(’)这
张注释图谱的完成对禽类基因组研究 具有划时代意义$它标志着禽类功能基因组时代的 到来) …",http://www.chinagene.cn/EN/Y2006/V28/I5/617,"牟彦双， 李辉 - 遗传, 2006 - chinagene.cn",2006
鹅细小病毒基因组结构特征研究进展,"鹅细小病毒(Goose parvovirus, GPV) 属细小病毒科, 细小病毒属, 由我国学者方定一1956 年首次分离报道. GPV 基因组约5 Kb, 由左右2 个完整的开放阅读框(open reading frame, ORF) 组成: LORF (left ORF) 和RORF (right ORF). LORF 编码非结构蛋白(nonstructural protein, NS) …",http://www.cqvip.com/qk/98248a/201101/37612471.html,"朱海侠， 万春和， 黄瑜 - 中国动物传染病学报, 2011 - cqvip.com",2011
采用DNA 片段编辑技术反转CTCF 结合位点改变基因组拓扑结构和增强子与启动子功能,"… 下高度有机折叠在 约5~10 μm 的细胞核内，形成复杂的三维基因组。 这种三维基因组随着时间
的推移不断变化形成所谓 的四维细胞核组(4D … 绝缘子和启动子等DNA 功能元件之间的相 互
作用。近年研究发现哺乳动物基因组中增强子数 量远大于启动子的数量，并且基因表达可能受到多 …",http://www.chinagene.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=4968,"郭亚， 吴强 - 遗传, 2015 - chinagene.cn",2015
营养基因组学在水产研究和水产业中发展前景,"… 基因组序列的发现（1ander等，2001；Venter等，2001）和其他动物基因组序列的发现（http：／／www．ncbi．nih．gov／Genomes）是
科学探索历程上的主要里程碑。基因组… 特殊作用。过去10年中，功能性基因组学领域经历了
快速的发展，这个领域结合了基因组学、蛋白质组学、基因型鉴定…",http://www.cqvip.com/qk/93825x/200704/24101467.html,"麦克林， 汪静霞， 郭福存 - 饲料研究, 2007 - cqvip.com",2007
山羊基因组研究进展,"… ,43]构建 了山羊放射自显杂交图谱，包含45 953 个SNP 标记， 约65 kb，是较为完整的山羊全
基因组… 基因组1.33 倍， 奶山羊BAC 文库的构建为基因克隆和基因组学研 究提供良好的技术平台
。高分辨率的基因组图谱为 基因组提供了至关重要的线性信息，为反刍动物和 其他哺乳动物基因组…",http://www.chinagene.cn/CN/abstract/abstract5445.shtml,"王凤红， 张磊， 李晓凯， 范一星， 乔贤， 龚高， 严晓春… - 遗传, 2019 - chinagene.cn",2019
红原鸡全基因组中微卫星分布规律研究,"本文对红原鸡Gallus gallus 全基因组中微卫星数量及分布规律进行了分析, 查找到l~ 6 个碱基重复类型的微卫星序列共282728 个, 约占全基因组序列(1.1 Gb) 的0.49%, 分布频率为1/3.89 kb, 微卫星序列的长度主要在12~ 70 个碱基长度范围内. 第1, 2, 3 …",http://www.cqvip.com/qk/93406x/201203/41887237.html,"黄杰， 杜联明， 李玉芝， 李午佼， 张修月， 岳碧松 - 四川动物, 2012 - cqvip.com",2012
牦牛基因组微卫星富集文库的构建与分析,"… 载体上,转化至DH5α中,首次成功构建牦牛基因组微卫星富集文库.测序结果发现,阳性克隆率为
77%(37/48),说明构建的牦牛基因组微卫星富集文库是一个高质量的文库.牦牛富集微卫星文库的
建立和牦牛微卫星的筛选将为下一步进行牦牛基因组结构的分析、牦牛遗传连锁图谱的构建、分子…",http://www.cqvip.com/qk/95085x/200405/9900754.html,"李齐发， 赵兴波， 罗晓林， 姚平， 李宁， 田志华， 吴常信… - 遗传学报, 2004 - cqvip.com",2004
两种蜘蛛基因组DNA 提取方法的比较,"… 摘要：昆虫基因组DNA的提取是对昆虫在分子水平上进行研究的关键，提取的DNA的纯度、浓度
及结构的完整性是… 基因组DNA。盐析法简便、快速，对设备和试剂要求都不高，且提取出的蜘蛛
基因组DNA完整性和纯度都可满足实验的要求。盐析法不仅适用蜘蛛类，对其他节肢动物基因组…",http://www.cqvip.com/qk/94009x/200705/25460278.html,"靳然， 侯毅， 李生才 - 山西农业科学, 2007 - cqvip.com",2007
DNA 分子标记在动物个体识别与亲权鉴定方面的应用,"… DNA分子标记在动物个体识别与亲权鉴定方面的应用 … 摘要：自从DNA分子标记技术建立以来
,各种DNA分子标记相继被广泛地应用于遗传图谱的构建、评估遗传多样性以及个体识别、亲权鉴定
等方面.综述了利用DNA分子标记技术,进行动物个体识别与亲权鉴定的原理、研究进展、现状及其…",http://www.cqvip.com/qk/90799x/200105/5634867.html,"李孟华， 王海生， 赵书红， 刘榜， 陈世林， 李奎 - 生物技术通报, 2001 - cqvip.com",2001
新型基因组编辑技术研究进展,"基因组编辑技术是一种能精确靶向修饰生物基因组, 实现对基因定点敲除和外源基因定点整合的技术. 新出现的锌指核酸酶(ZFN), 转录激活子样效应因子核酸酶(TALEN) 和规律性重复短回文序列簇与Cas9 蛋白(CRISPRs/Cas9) 系统3 种新型的基因组编辑技术通过特异性结构识别靶位 …",http://www.cqvip.com/qk/90001a/201510/666093053.html,"韩勇， 杨杰， 李子彬， 董宋鹏， 高凤山 - 动物医学进展, 2015 - cqvip.com",2015
