title,content,url,sub_title,year
基因组学与动物克隆,"… ：“人类基因组计划”和动物克隆是生命科学史上两个重要的里程碑。 “人类基因组计划”所催生的
基因组学的灵魂是生命的“序列化”和“数字化”。基于这一理念，华大基因一直致力于搭建测序和生物
信息分析平台，其目标是通过广泛的国际合作，分析“所有人类个体和所有地球生命”的基因组。 …",http://www.cqvip.com/qk/84221a/201110/40049705.html,"杨焕明 - 中国比较医学杂志, 2011 - cqvip.com",2011
我国科学家成功破译飞蝗基因组图谱,"… 该院动物研究所康乐院士领衔,深圳华大基因研究院和中科院北京生命科学研究院等单位参与的
一项研究,成功破译了飞蝗(Locusta migratoria)的全基因组序列图谱,这是迄今人类破译的最大动物
基因组。基于基因组… 形式在线发表,同时国际知名数据库也向全球公开释放了飞蝗基因组数据。 …",https://www.cnki.com.cn/Article/CJFDTotal-NYSC201404049.htm,"刘刚 - 农药市场信息, 2014 - cnki.com.cn",2014
弹涂鱼两栖习性的基因组学研究进展,"… 动物的重要过渡环节。从2012年开始,深圳华大基因研究院与深圳野生动物救护中心、厦门大学
等单位合作,共同实施弹涂鱼全基因组测序计划,有关基因组… 。本文就弹涂鱼两栖习性的基因组学
研究进展进行综述,探讨弹涂鱼适应两栖习性的分子机制,并对以基因组数据为基础的后续研究进行…",http://www.cqvip.com/qk/93342x/201505/666244308.html,"游欣欣， 卞超， 陈洁明， 孙颖， 石琼 - 海洋渔业, 2015 - cqvip.com",2015
生物基因组测序发展现状和对策建议,"… 计划在长春启动&8 月由中 国农业科学院特产所牵头的中国梅花鹿全基因组测序计划启动& 11 
月!’莲藕基因组计划(依托武汉市蔬ê科学研究所启动&12 月! 深圳华大基因研究院与’ 万种脊椎动物
基因组计划( 联盟 $G10KCOS%的科学家联合宣布启动万种脊椎动物基因组=期计 划"" !""#$%& …",http://www.kjdb.org/CN/article/downloadArticleFile.do?attachType=PDF&id=3323,"张江丽 - 科技导报, 2011 - kjdb.org",2011
牛支原体分离株全基因组序列测定及初步分析,"… 酚-氯仿法提取牛支原体NM2012株基因组DNA,并送往北京华大基因公司进行全基因组测序注释
。结果显示,牛支原体NM2012株基因组大小为993 483bp,GC含量为29.26%,测序组装后共产生
3个scaffolds,24个contigs。基因组组分分析后发现,NM2012株的基因组含有885个基因,总长度为…",http://www.cqvip.com/qk/90001x/201408/661986477.html,"王艳杰， 李平安， 吴太平， 关平原 - 动物医学进展, 2014 - cqvip.com",2014
小麂线粒体基因组全序列的测定和分析,"… :.B?:8 致!!谢!本实验得到中国科学院遗传与发育生物学研究所华大基因中心主任杨焕明教授等同仁
… 也是国内有关哺乳动物线粒体基因组全序列的首次报道* 与其他哺乳动物线粒体基因组全序列
的… 较亦表明!基因组中各种基因序列存在较高或至少 中等程度的保守性""上述情况说明哺乳动物…",http://www.chinagene.cn/EN/Y2004/V26/I6/849,"张晓梅， 单祥年， 施燕峰， 张海军， 李健， 郑爱玲 - 遗传, 2004 - chinagene.cn",2004
鱼类基因组研究进展,"… 和调控通路。研究结果为脊椎动物 基因组进化和基因衍化机制研究提供了模型。 2014 年，中国
水产科学研究院黄海水产研究所、 深圳华大基因研究院等单位联合完成了半滑舌鳎全 基因组的
测序和组装，绘制了半滑舌鳎全基因组序 列图谱［46］，使半滑舌鳎成为世界上第一个测定了全 …",http://manu64.magtech.com.cn/Jwk3_nky_rwd/EN/abstract/abstract14442.shtml,"徐钢春， 杜富宽， 卞超， 石琼， 徐跑 - 生物技术通报, 2017 - manu64.magtech.com.cn",2017
山东地区啮齿类动物病毒宏基因组研究,"… 进行预处理并提取核酸;提取核酸后,送到华大基因科技股份有限公司进行Hiseq高通量测序;利用… 
可能对人类或动物具有感染性的病毒进行PCR验证和筛查,了解该病毒在啮齿动物中的流行特征;… 
扩增病毒全基因组以了解其基因组特点、进化关系等;对温州病毒进行细胞分离、动物感染等实验…",https://cdmd.cnki.com.cn/Article/CDMD-11065-1018879771.htm,刘蒙蒙 - 2018 - cdmd.cnki.com.cn,0
我国首次绘出大熊猫基因组精细图,"… 13日，由深圳华大基因研究院领衔，中国科学院昆明动物研究所、中国科学院动物研究所、成都
大熊猫繁育研究基地和中国保护大熊猫研究中心共同参与的大熊猫基因组测序研究项目完成，并
绘制出大熊猫基因组精细图。这是我国科学家第一次全面系统地对大熊猫基因组进行测序研究。 …",http://www.cqvip.com/qk/81778a/201001/32587330.html,"邢章萍 - 经济, 2010 - cqvip.com",2010
大鼠肠内容物细菌基因组DNA 提取方法的比较,"目的比较两种肠内容物前处理和两种提取方法对清洁级SD 大鼠肠内容物细菌基因组DNA 提取效率. 方法分别选用PBS 多次离心漂洗, 液氮破细胞两种前处理方法和酚/氯仿抽提, 试剂盒过柱法两种提取方法进行组合分析, 对4 份肠内容物和16 份含金黄色葡萄球菌肠内容物 …",http://www.cqvip.com/qk/84024x/201103/38602625.html,"戴方伟， 宋晓明， 周莎桑， 柯贤福， 李长龙， 应华忠… - 中国实验动物 …, 2011 - cqvip.com",2011
脊椎动物从水生到陆生演化过程中的遗传创新,"… 动物研究所、中国科学院北京基因组研究所、 华大基因、丹麦哥本哈根大学、中国科学院古脊椎 
动物与古人类研究所、中国农业科学院农业基因组 研究所、华南农业大学、武汉希望组生物技术
公司 等多个研究团队合作完成的两项脊椎动物演化的重 大成果。通过对现生多个古代鱼类基因组…",http://www.chinagene.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=5683,"王堃， 任彦栋， 邱强 - 遗传, 2021 - chinagene.cn",2021
,,,"姚音 - 中欧商业评论, 2013",0
一株大熊猫肠道耐药性细菌基因组的分析,"… 药性细菌基因组,以期初步了解大熊猫肠道耐药性细菌的抗性机制。本实验室的研究结果表明:一
株分离于陕西省珍稀… 动物抢救饲养研究中心大熊猫粪便的细菌08XA1对氨苄青霉素和卡那霉素
均具有很高的耐药性。我们对该菌的基因组序列进行了测定和分析。首先提取细菌的总DNA,送华大…",https://cpfd.cnki.com.cn/Article/CPFDTOTAL-ZGYL201210002038.htm,"严悦， 赵传武， 张义正， 谭雪梅 - 2012 年第五届全国微生物遗传学 …, 2012 - cpfd.cnki.com.cn",2012
我国完成柞蚕全基因组测序,"… 所组成的柞蚕基因组研究联合攻关项目组（简称柞蚕项目组）与深圳华大基因科技服务有限公司
（简称华大科技）携手,经过两年的不懈努力,日前完成了柞蚕全基因组重头测序工作.这是我国蚕业
科学家继完成家蚕基因组框架图及精细图、桑树基因组测序后,又一蚕业基因组突破性研究成果,将…",http://www.cqvip.com/qk/90832a/201406/49849529.html,"郝晓明 - 农业知识: 科学养殖, 2014 - cqvip.com",2014
《 Nature》 关注华大基因上市,"… 了华大基因上市的新闻。《Nature》称中国的基因组学巨头华大基因曾是基础科学DNA测序领域
的全球领导者。现在,华大基因上市在即,标志着这家公司即将完成主攻生殖健康等生物医学业务的
重大转型。华大的IPO招股说明书透露,受竞争对手挤压和测序成本骤降影响,华大基因已将关注点…",http://www.cqvip.com/qk/98255x/201707/74756778504849554855484853.html,"一宏， 王雯慧 - 中国农村科技, 2017 - cqvip.com",2017
中国家蚕基因组与21 世纪丝绸之路,"… 摘要：由于西南农业大学和中国科学院北京基因组研究所暨华大基因研究中心的科学家的出色
工作,中国家蚕基因组工作框架图于2003年10月… .家蚕全基因组有效长度为450 Mb,这次绘制的
框架图覆盖了家蚕全基因组的95.54%,达到了高质量工作框架图的要求.随着家蚕基因组框架图的…",http://www.cqvip.com/qk/93797x/200304/8962286.html,"向仲怀 - 蚕业科学, 2003 - cqvip.com",2003
大型鸟类基因组项目发布成果,"… 大型鸟类基因组项目发布成果 … 摘要：由华大基因联合全球200多位科学家共同研究的鸟类
基因组系统演化史项目，近日在深圳举办成果发布会。 据悉，该项目全面解码了鸟类起源过程，揭秘
了羽毛、飞行、鸣叫等演化机制。美国《科学》杂志鸟类专刊上刊登了8篇该项目的研究成果。 …",http://www.cqvip.com/qk/82263a/201501/663541554.html,"赵煜 - 科技中国, 2015 - cqvip.com",2015
,,,"吕贯廷 - 中国科学院北京基因组研究所, 2009 - 中国科学院北京基因组研究所",2009
