title,content,url,sub_title,year
高质量植物基因组DNA 的分离,"为了从富含多酚和多糖的药用植物组织中分离出高质量基因组DNA, 本文通过改良几种已经存在的分离方法, 获得了一种以CTAB 法为基础的分离高质量完整DNA 的简便, 快速方法. 使用该方法从人参, 西洋参及三七的新鲜或干燥根组织分离DNA 时, A260/A280 为1. 8 左右 …",http://xbyxb.csu.edu.cn/EN/article/downloadArticleFile.do?attachType=PDF&id=1892,罗志勇， 周钢， 陈湘晖， 陆秋恒， 胡维新 - 2001 - xbyxb.csu.edu.cn,0
高质量植物基因组DNA 的提取,"… 本文简要介绍有关各种植物的基因组DNA 提 取方法的一些探索和改进情况。 1 实验材料的
处理 实验材料的处理包括2 个方面：一为实验材 料的选择；二为实验材料的保存和预处理。 总体
上讲，在材料的选取上，应尽量采用植 物的幼嫩部位，但仍应根据实验条件如… 另一个避免次生 …",http://www.plant-physiology.com/upload/file/20130605135416966.pdf,黄晓丹， 张云贵， 应铁进 - 2006 - plant-physiology.com,0
植物基因组表达序列标签(EST) 计划研究进展,"植物表达序列标签(EST) 计划是随机挑选cDNA 克隆, 并对其3′ 或5′ 端进行大规模一次性测序, 将得到的150~ 500 bp 长度的DNA 片段与数据库中的序列进行比较, 获得对基因组结构, 组织, 表达等认识的基因组研究策略. 就近年来国际植物EST 计划的实施情况, 植物EST …",http://www.cqvip.com/qk/94860x/200104/5317545.html,"骆蒙， 贾继增 - 生物化学与生物物理进展, 2001 - cqvip.com",2001
植物基因组编辑及衍生技术最新研究进展,"基因组编辑技术已经在多个模式植物, 动物以及其他生物中得到成功应用. 基因组编辑是利用序列特异核酸酶(Sequence-specific nucleases, SSNs) 在基因组特定位点产生DNA 双链断裂(Double-strand breaks, DSBs), 从而激活细胞自身修复 …",http://www.chinagene.cn/CN/10.16288/j.yczz.15-156,"单奇伟， 高彩霞 - 遗传, 2015 - chinagene.cn",2015
植物基因组大小进化的研究进展,"不同的真核生物之间基因组大小差异很大, 并与生物体复杂性不相关, 在基因组中存在大量的非编码DNA 序列是造成这种差异的主要原因, 特别是转座子序列. 文章综述了植物基因组大小差异以及引起这种差异的主要进化动力的最新研究进展. 植物基因组多倍化和转座子积累是导致 …",http://www.chinagene.cn/EN/abstract/abstract1957.shtml,"陈建军， 王瑛 - 遗传, 2009 - chinagene.cn",2009
植物基因组学与种质资源新基因发掘,"种质资源是基因的载体, 如何从种质资源中发掘出新的目标基因是21 世纪植物育种所面临的最大挑战之一. 近年来, 随着植物基因组学的迅猛发展, 新的基因发掘方法和技术不断涌现, 新基因发掘也产生了各种新的思路和策略. 笔者在回顾基因发掘历史的基础上 …",http://www.cqvip.com/qk/90161x/200411/11444030.html,"贾继增， 黎裕 - 中国农业科学, 2004 - cqvip.com",2004
植物基因组DNA 提取与纯化研究进展,"植物基因组DNA提取与纯化研究进展-【维普网】-仓储式在线作品出版平台-www.cqvip.com … 
植物基因组DNA提取与纯化研究进展 … 摘要：对近年来植物基因组DNA的提取方法与纯化方法
的研究进展进行综合评述，并比较了不同提取及纯化方法的优缺点，旨在为植物基因组DNA的 …",http://www.cqvip.com/qk/97059x/201006/35414192.html,"孙璐宏， 鲁周民， 张丽 - 西北林学院学报, 2010 - cqvip.com",2010
植物荧光原位杂交技术的发展及其在植物基因组分析中的应用,"荧光原位杂交(HSH) 是在染色体, 间期核和DNA 纤维上定位特定DNA 序列的一种有效而精确的分子细胞遗传学方法. 20 年来, 植物荧光原位杂交技术发展迅速: 以增加检测的靶位数为目的, 发展了双色FISH, 多色FISH 和多探针FISH 鸡尾酒技术; 为增加很小染色体目标的检测灵敏度 …",http://whzwxyj.cn/EN/article/downloadArticleFile.do?attachType=PDF&id=1031,佘朝文， 宋运淳 - 2006 - whzwxyj.cn,0
BACFISH 在植物基因组研究中的应用,"BACFISH在植物基因组研究中的应用-[维普官方网站]-www.cqvip.com-维普网 … BACFISH在
植物基因组研究中的应用 … 摘要:细菌人工染色体与荧光原位杂交合成技术(BACFISH)是90年代
开始发展起来的一种新的定位技术.由于该技术较常规荧光原位杂交(FISH)技术的信号检出率高 …",http://www.cqvip.com/qk/94860x/200001/4446654.html,"覃瑞， 魏文辉， 宋运淳 - 生物化学与生物物理进展, 2000 - cqvip.com",2000
改良SDS 法提取多种植物基因组DNA 研究,"改良SDS法提取多种植物基因组DNA研究-【维普网】-仓储式在线作品出版平台-www.cqvip.com … 
改良SDS法提取多种植物基因组DNA研究 … 摘要：结合传统SDS法提取DNA和Silica吸附柱
纯化DNA的优点,建立了能进行多种植物基因组DNA提取的改良SDS法,为提取植物基因组DNA通用 …",http://www.cqvip.com/qk/93806x/201108/38982738.html,"单志， 吴宏亮， 李成磊， 陈惠， 吴琦 - 广东农业科学, 2011 - cqvip.com",2011
杜鹃花属植物基因组DNA RAPD-PCR 反应体系的优化,"试验通过系统比较研究, 确立了杜鹃属植物RAPD-PCR 的最佳反应体系, 即20μL 反应体系中: 模板DNA (10 g· L^-1) 1.5 μL; 10× PCR buffer 2μL; Taq 酶(0.5 U· μL^-1) 0.3 μL; 引物(0.8 μmol· L^-1) 4μL; MgCl2 (25 mmol· L^-1) 1.8 μL; dNTPs (dATP, dCTP, dTTP, dGTP 各含1.0 …",http://www.cqvip.com/qk/97569x/200802/27180287.html,"段国峰， 肖千文 - 山西农业大学学报: 自然科学版, 2008 - cqvip.com",2008
